Incident_ID,Date,Department,Type,Severity,Resolved,Owner_Employee_ID,Linked_Vendor_ID,Financial_Impact_INR
INC000001,14 April 2026,HR,PO Expiry,HIGH,False,IBSH00030,IV0030," 352,529.00 "
INC000002,23 April 2026,HR,Payment Delay,HIGH,False,IBSH00086,IV0001," 366,315.00 "
INC000003,25 January 2026,IT,PO Expiry,HIGH,False,IBSH00010,IV0029," 401,604.00 "
INC000004,24 November 2025,Finance,Audit Finding,HIGH,False,IBSH00089,IV0017," 716,114.00 "
INC000005,20 January 2026,Legal,Audit Finding,HIGH,False,IBSH00062,IV0007," 416,798.00 "
INC000006,30 September 2025,Operations,Training Overdue,HIGH,False,IBSH00074,IV0019," 499,890.00 "
INC000007,30 October 2025,Supply Chain,Payment Delay,HIGH,False,IBSH00002,IV0037," 123,006.00 "
INC000008,26 June 2025,HR,Payment Delay,HIGH,False,IBSH00100,," 735,864.00 "
INC000009,26 September 2025,Risk & Audit,Vendor Risk,HIGH,False,IBSH00082,IV0013," 736,554.00 "
INC000010,14 April 2026,Vendor Management,Contract Non-Compliance,HIGH,False,IBSH00081,IV0042," 362,802.00 "
INC000011,21 June 2025,HR,Approval Delay,HIGH,False,IBSH00075,IV0024," 423,940.00 "
INC000012,7 August 2025,Finance,Training Overdue,HIGH,False,IBSH00096,IV0027," 194,512.00 "
INC000013,29 August 2025,Vendor Management,Data Quality,HIGH,False,IBSH00047,IV0034," 310,549.00 "
INC000014,12 February 2026,Vendor Management,Payment Delay,HIGH,False,IBSH00062,," 385,766.00 "
INC000015,30 October 2025,Compliance,Policy Violation,HIGH,False,IBSH00010,IV0010," 455,169.00 "
INC000016,24 September 2025,IT,Training Overdue,HIGH,False,IBSH00012,," 516,717.00 "
INC000017,20 December 2025,Finance,Data Quality,HIGH,False,IBSH00016,IV0030," 114,595.00 "
INC000018,6 December 2025,Operations,Audit Finding,HIGH,False,IBSH00082,IV0024," 374,897.00 "
INC000019,26 July 2025,HR,Approval Delay,HIGH,False,IBSH00080,IV0036," 345,181.00 "
INC000020,15 November 2025,Legal,Contract Non-Compliance,HIGH,False,IBSH00082,," 739,718.00 "
INC000021,24 January 2026,Supply Chain,Contract Non-Compliance,HIGH,False,IBSH00018,IV0003," 416,870.00 "
INC000022,20 June 2025,HR,Contract Non-Compliance,HIGH,False,IBSH00013,IV0016," 419,150.00 "
INC000023,3 March 2026,Supply Chain,Policy Violation,HIGH,False,IBSH00048,IV0043," 242,255.00 "
INC000024,4 March 2026,Operations,PO Expiry,HIGH,False,IBSH00054,IV0042," 539,487.00 "
INC000025,21 July 2025,Operations,Audit Finding,HIGH,False,IBSH00036,IV0003," 613,118.00 "
INC000026,7 December 2025,HR,Policy Violation,HIGH,False,IBSH00031,IV0024," 327,824.00 "
INC000027,21 July 2025,IT,Training Overdue,HIGH,False,IBSH00008,IV0026," 485,179.00 "
INC000028,20 October 2025,Compliance,Policy Violation,HIGH,False,IBSH00012,IV0043," 299,029.00 "
INC000029,17 September 2025,Operations,Approval Delay,HIGH,False,IBSH00007,," 772,876.00 "
INC000030,18 November 2025,Vendor Management,Vendor Risk,HIGH,False,IBSH00009,IV0049," 355,401.00 "
INC000031,11 March 2026,Operations,Vendor Risk,HIGH,False,IBSH00030,IV0022," 317,221.00 "
INC000032,15 August 2025,Procurement,Payment Delay,HIGH,False,IBSH00019,IV0009," 724,933.00 "
INC000033,4 March 2026,Vendor Management,Contract Non-Compliance,HIGH,False,IBSH00085,IV0002," 362,830.00 "
INC000034,7 August 2025,Risk & Audit,Vendor Risk,HIGH,False,IBSH00076,IV0021," 115,583.00 "
INC000035,9 June 2025,Finance,Approval Delay,HIGH,False,IBSH00017,IV0048," 282,711.00 "
INC000036,2 January 2026,Compliance,Contract Non-Compliance,HIGH,False,IBSH00061,IV0029," 651,641.00 "
INC000037,3 December 2025,Operations,Contract Non-Compliance,HIGH,False,IBSH00058,IV0033," 638,170.00 "
INC000038,22 September 2025,Procurement,Data Quality,HIGH,False,IBSH00039,IV0030," 744,987.00 "
INC000039,26 April 2026,Procurement,Policy Violation,HIGH,False,IBSH00052,IV0028," 132,664.00 "
INC000040,26 July 2025,HR,Contract Non-Compliance,HIGH,False,IBSH00011,IV0021," 614,085.00 "
INC000041,8 April 2026,Compliance,PO Expiry,HIGH,False,IBSH00036,IV0040," 255,540.00 "
INC000042,21 April 2026,IT,Training Overdue,HIGH,False,IBSH00049,IV0039," 713,800.00 "
INC000043,27 February 2026,HR,Data Quality,HIGH,False,IBSH00078,IV0028," 409,223.00 "
INC000044,21 July 2025,IT,Vendor Risk,HIGH,False,IBSH00056,IV0029," 219,972.00 "
INC000045,25 September 2025,Risk & Audit,Policy Violation,HIGH,False,IBSH00052,IV0027," 533,915.00 "
INC000046,19 July 2025,Supply Chain,Training Overdue,HIGH,False,IBSH00086,IV0017," 427,731.00 "
INC000047,9 December 2025,HR,Contract Non-Compliance,HIGH,False,IBSH00012,IV0006," 260,054.00 "
INC000048,18 July 2025,Compliance,Training Overdue,HIGH,False,IBSH00017,IV0036," 552,856.00 "
INC000049,1 July 2025,IT,Data Quality,HIGH,False,IBSH00043,IV0043," 714,954.00 "
INC000050,2 August 2025,Risk & Audit,Audit Finding,HIGH,False,IBSH00093,IV0004," 500,000.00 "
INC000051,26 October 2025,Finance,Training Overdue,HIGH,False,IBSH00014,IV0037," 729,576.00 "
INC000052,15 February 2026,Vendor Management,Policy Violation,HIGH,False,IBSH00029,IV0007," 323,073.00 "
INC000053,27 November 2025,Risk & Audit,Contract Non-Compliance,HIGH,False,IBSH00098,IV0018," 683,287.00 "
INC000054,21 March 2026,Supply Chain,Data Quality,HIGH,False,IBSH00099,," 337,145.00 "
INC000055,15 April 2026,IT,Approval Delay,HIGH,False,IBSH00078,IV0043," 743,379.00 "
INC000056,15 October 2025,Vendor Management,Payment Delay,HIGH,False,IBSH00090,IV0049," 130,360.00 "
INC000057,6 November 2025,Risk & Audit,Approval Delay,HIGH,False,IBSH00024,IV0010," 456,332.00 "
INC000058,17 March 2026,Supply Chain,Contract Non-Compliance,HIGH,False,IBSH00019,IV0048," 789,276.00 "
INC000059,21 April 2026,Compliance,Data Quality,HIGH,False,IBSH00028,IV0025," 132,147.00 "
INC000060,1 January 2026,Risk & Audit,PO Expiry,HIGH,False,IBSH00048,IV0020," 575,683.00 "
INC000061,14 November 2025,Operations,Contract Non-Compliance,HIGH,False,IBSH00007,IV0010," 695,165.00 "
INC000062,20 August 2025,Procurement,Contract Non-Compliance,HIGH,False,IBSH00035,IV0029," 747,851.00 "
INC000063,5 May 2026,HR,Policy Violation,HIGH,False,IBSH00054,IV0018," 544,612.00 "
INC000064,19 September 2025,Compliance,Training Overdue,HIGH,False,IBSH00056,IV0008," 637,235.00 "
INC000065,24 October 2025,HR,Data Quality,HIGH,False,IBSH00086,IV0020," 721,947.00 "
INC000066,24 June 2025,Supply Chain,Approval Delay,HIGH,False,IBSH00001,IV0014," 331,231.00 "
INC000067,2 November 2025,Vendor Management,Payment Delay,HIGH,False,IBSH00038,IV0021," 321,495.00 "
INC000068,1 August 2025,HR,Audit Finding,HIGH,False,IBSH00023,IV0009," 108,106.00 "
INC000069,12 December 2025,Legal,Data Quality,HIGH,False,IBSH00072,IV0043," 658,454.00 "
INC000070,29 November 2025,Supply Chain,Approval Delay,HIGH,False,IBSH00056,IV0002," 175,577.00 "
INC000071,22 January 2026,Risk & Audit,Audit Finding,HIGH,False,IBSH00074,IV0026," 181,645.00 "
INC000072,24 April 2026,Finance,Contract Non-Compliance,HIGH,False,IBSH00052,IV0002," 537,984.00 "
INC000073,14 November 2025,Operations,Policy Violation,HIGH,False,IBSH00089,IV0024," 280,223.00 "
INC000074,16 July 2025,Compliance,Vendor Risk,HIGH,False,IBSH00056,IV0038," 557,926.00 "
INC000075,23 December 2025,Compliance,Audit Finding,HIGH,False,IBSH00040,IV0048," 649,415.00 "
INC000076,21 November 2025,Risk & Audit,PO Expiry,HIGH,False,IBSH00010,IV0033," 332,336.00 "
INC000077,21 April 2026,IT,Data Quality,HIGH,False,IBSH00025,IV0050," 219,566.00 "
INC000078,26 November 2025,Vendor Management,Vendor Risk,HIGH,False,IBSH00014,IV0010," 468,155.00 "
INC000079,10 October 2025,Vendor Management,PO Expiry,HIGH,False,IBSH00098,IV0049," 306,855.00 "
INC000080,2 May 2026,Vendor Management,Policy Violation,HIGH,False,IBSH00060,IV0049," 179,014.00 "
INC000081,16 March 2026,HR,Training Overdue,CRITICAL,False,IBSH00081,IV0021," 707,617.00 "
INC000082,17 August 2025,Compliance,Policy Violation,CRITICAL,False,IBSH00057,IV0041," 561,125.00 "
INC000083,3 November 2025,Operations,Approval Delay,CRITICAL,False,IBSH00046,IV0033," 388,017.00 "
INC000084,8 July 2025,HR,Policy Violation,CRITICAL,False,IBSH00005,IV0004," 425,487.00 "
INC000085,6 December 2025,Compliance,Contract Non-Compliance,CRITICAL,False,IBSH00079,IV0039," 401,023.00 "
INC000086,15 February 2026,HR,Data Quality,CRITICAL,False,IBSH00095,IV0003," 503,160.00 "
INC000087,17 January 2026,Legal,Training Overdue,CRITICAL,False,IBSH00078,IV0031," 699,426.00 "
INC000088,12 February 2026,Procurement,Policy Violation,CRITICAL,False,IBSH00014,," 258,190.00 "
INC000089,23 November 2025,IT,PO Expiry,CRITICAL,False,IBSH00006,IV0016," 188,426.00 "
